Id,"Project Name",Subtype,"Current Status","Capacity MW","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District,,
1404,"Son My 2 Nha may Nhiet dien Son My 2",Gas,Planned,750,2024,"Vietnam; USA",Petrovietnam," AES",,,," ",Vietnam,"Binh Thuan",,
1405,"Son My 3 Nha may Nhiet dien Son My 3",Gas,Planned,1250,2025,Vietnam,Petrovietnam,,,," ",Vietnam,"Binh Thuan","Ham Tan",,
1406,"Son Quang Đien mat troi Son Quang 29 ha",Solar,Planned,29,2020,,,,,," ",Vietnam,"Ha Tinh","Huong Son",,
1407,"Song Ba Ha",Hydro,Operational,220,2008,Vietnam,"Song Ba Ha JSC.",,,Vietnam,Cavico,Vietnam,"Lao Cai","Bac Ha",,
1408,"Song Bac",Hydro,Operational,49,,"Vietnam; Netherlands","Geruco Song Con Hydropower G",,,," ",Vietnam,"Ha Giang","Quang Binh",,
1409,"Song Binh Solar Nha may dien mat troi Song Binh 6",Solar,"Under Construction",250,2019,Vietnam,"Cong ty CP Sua Thong Thua"," Cong ty CP Nang luong Hung Binh",,,," ",Vietnam,"Binh Thuan",,
1410,"Song Bung 2",Hydro,Operational,100,2012,Vietnam,EVN,,,USA,Cavico,Vietnam,"Quang Nam","Nam Giang",,
1411,"Song Bung 4",Hydro,Operational,156,2015,Vietnam,EVN,ADB,ADB,China,"Power Construction Corp China",Vietnam,"Quang Nam","Nam Giang",,
1412,"Song Bung 4A",Hydro,Operational,49,2012,Vietnam,"Phu Thanh My JSC.",,,," ",Vietnam,"Quang Nam","Nam Giang",,
1413,"Song Bung 5",Hydro,Operational,57,2013,Vietnam,"Power Engineering Consulting JSC"," EVN",,,," ",Vietnam,"Quang Nam",,
1414,"Song Bung 6",Hydro,Operational,29,2012,Vietnam,"Bung River Hydro Power JSC",,,," ",Vietnam,"Quang Nam","Đong Giang",,
1415,"Song Chay 5",Hydro,Operational,16,2012,Vietnam,"Song Da 5 JSC.",,,," ",Vietnam,"Ha Giang","Xin Man",,
1416,"Song Con 2",Hydro,Operational,63,2009,Vietnam,"Geruco Song Con Hydropower JSC",,,," ",Vietnam,"Quang Nam","Đong Giang",,
1417,"Song Giang Nha may dien mat troi Song Giang"," nha may quang dien mat troi tai xa Cam Thinh Đong"," TP Cam Ranh",Solar,Planned,50,2020,Vietnam,"Cty CP Khai thac thuy dien Song Giang",,,," ",Vietnam,,
1418,"Song Giang 1 Thuy dien Song Giang 1",Hydro,Operational,12,2006,Vietnam,"Song Giang Hydropower Exploitation JSC Cong ty Co phan Khai thac thuy dien Song Giang",Vietnam,"Vietnam Development Bank",," ",Vietnam,"Khanh Hoa","Khanh Vinh",,
1419,"Song Giang 2 Thuy dien Song Giang 2",Hydro,Operational,37,2014,Vietnam,"Song Giang Hydropower Exploitation JSC Cong ty Co phan Khai thac thuy dien Song Giang",,,," ",Vietnam,"Khanh Hoa","Khanh Vinh",,
1420,"Song Hau 1 Nha may nhiet dien Song Hau 1",Coal,Operational,1200,2020,Vietnam,Petrovietnam,ADB,ADB,Vietnam,"Lilama Vietnam",Vietnam,"Hau Giang","Chau Thanh",,
1421,"Song Hau 2 Nha may nhiet dien Song Hau 2",Coal,Planned,2000,2024,Malaysia,"Toyo Engineering and ContructionGroup Berhad",,,," ",Vietnam,"Hau Giang","Chau Thanh",,
1422,"Song Hau 3 Nha may nhiet dien Song Hau 3",Coal,Cancelled,2000,2030,Vietnam,"Korea Electric Power Corporation KEPCO",,,," ",Vietnam,"Hau Giang","Chau Thanh",,
1423,"Song Luy 1 Nha may dien mat troi tai Song Luy 1",Solar,Operational,39,2018,Vietnam,"Cong ty Co phan dau tu Quang dien Binh Thuan",Vietnam,"SHB Bank Saigon Hanoi JSC","Vietnam; Spain; Belgium; Sweden; Japan","Sigma Energy Tay Ban Nha – Tu van dien 4 Viet Nam"," Tu van giam sat Tractebel Bi"," cung cap thiet bi la ABB Thuy Đien"," TMEIC Nhat",,
1424,"Song Muc",Hydro,Operational,2,2008,Vietnam,"Song Muc Co Ltd",,,," ",Vietnam,"Thanh Hoa","Nhu Thanh",,
1425,"Song Pha",Hydro,Operational,7.5,1995,Vietnam,"Da Nhim - Ham Thuan - Da Mi Hydropower Company",,,," ",Vietnam,"Ninh Thuan","Ninh Son",,
1426,"Song Tranh 2",Hydro,Operational,190,2010,Vietnam,EVN,,,Vietnam,Cavico,Vietnam,"Quang Nam","Bac Tra My",,
1427,"Song Tranh 3",Hydro,Operational,62,2013,Vietnam,"Song Tranh 3 Hydro Power JSC",,,," ",Vietnam,"Quang Nam","Hiep Đuc",,
1428,"Songkla Biomass Company Limited Power Plant",Biomass,Unknown,9.9,,Thailand,"Ratchaburi Electric Generating Company",,,," ",Thailand,"Buri Ram","Muang Buri Ram",,
1429,"Sor Por Kor Wind Farm",Wind,"Under Construction",260,2019,Thailand,"Energy Absolute Plc",,,Spain,"Siemens Gamesa Renewable Energy Spain",Thailand,"Buri Ram","Prakhon Chai",,
1430,"South Bangkok Blocks 1-3",Gas,Operational,1691,2009,Thailand,EGAT,,,," ",Thailand,Nonthaburi,"Bang Kruai",,
1431,"Southern Laos Solar Projects",Solar,Planned,300,2020,USA,"Convalt Energy LLC",,,," ",Laos,"Vientiane prefecture",Chanthabuly,,
1432,"Southern Palm Wastewater Treatment",Waste,Unknown,1,,Thailand,"The Southern Palm 1978 Co Ltd.",,,Japan,"Marubeni Co",Thailand,"Surat Thani",Phunphin,,
1433,"SP Infra 1 Nha may dien mat troi SP Infra 1",Solar,"Under Construction",50,2020,"Vietnam; India","CT TNHH Tai chinh ha tang Shapoorji Pallonji",,,," ",Vietnam,"Ninh Thuan","Thuan Nam",,
1434,"SPCG Nakthon Ratchasima & Loei Solar Plants",Solar,Operational,18,,Thailand,"Steel Intertech Public Company Limited"," Thai Fa Power Company","World Bank Group","IBRD; IFC",," ",Thailand,"Nakhon Pathom",,
1435,"SPM Group Floating Solar",Solar,Operational,2,2021,France,Greenyellow,,,,,Thailand,Ratchaburi,"Pak Tho",,
1436,"SPS1999 - Pang Ku Solid Waste Processing Plant",Waste,"Under Construction",9.5,2019,Thailand,Sermmsappaisal,,,China,"China Western Power Industrial EPC China",Thailand,"Maha Sarakham","Wapi Pathum",,
1437,"Srepok 1 and Quang Minh Solar Complex Khanh thanh cum Nha may dien mat troi Srepok 1 va Quang Minh 120 ha",Solar,Planned,100,2019,Vietnam,"Dai Hai Power Investment and Development Joint Stock Company - Cong ty CP dau tu va phat trien dien Đai Hai Vietnam"," Cong ty CP dien mat troi Srepok",,,," ",Vietnam,"Đak Lak",,
1438,"Srepok 3",Hydro,Operational,220,2009,Vietnam,EVN,,,Vietnam,"Construction Corporation No 1 JSC",Vietnam,"Đak Lak","Buon Đon",,
1439,"Srepok 4",Hydro,Operational,80,2010,Vietnam,"Dai Hai Electricity Investment and Development JSC EVN",Vietnam,"Agribank Quang Tri"," Agribank Dak Lak"," Agribank Dac Nong"," Agribank Thua Thien Hue"," Hanoi Branch- Viet A JSC Bank"," Viet Thai Joint Venture Bank",,
1440,"Srepok 4a",Hydro,Operational,64,2014,Vietnam,"Buon Don Hydro Power JSC",,,," ",Vietnam,"Đak Lak","Buon Đon",,
1441,"Sri Chula Solar Power Plant",Solar,Operational,8,,Thailand,"Gunkul Chubu Powergen Company Limited",,,," ",Thailand,"Nakhon Nayok","Muang Nakhon Nayok",,
1442,"Srijaroen Palm Oil Wastewater Treatment Project",Waste,Unknown,3,,Thailand,"Sriajroen Palm Oil Co Ltd.",,,Japan,"Mitsubishi UFJ Securities Co Ltd.",Thailand,Krabi,"Khao Phanom",,
1443,"Srinagarind Dam",Hydro,Operational,720,1980,Thailand,EGAT,,,," ",Thailand,Kanchanaburi,"Si Sawat",,
1444,"Srinagarind Renovation Hydropower Project",Hydro,"Under Construction",360,2019,Thailand,EGAT,,,," ",Thailand,Kanchanaburi,"Si Sawat",,
1445,Sriracha,Gas,Operational,700,2000,Thailand,"GPSC Global Power Synergy Corp",,,," ",Thailand,"Chon Buri","Si Racha",,
1446,"Srisangdaw Biopower Power Plant Project",Biomass,Unknown,9.9,,Thailand,"Srisangdaw Biopower Co"," Ltd Srisangdaw Mill Ltd. Partnership",,,Netherlands,"Carbon Partners Asiatica Hong Kong Co Ltd.",Thailand,"Roi Et",,
1447,"Srok Phu Mieng",Hydro,Operational,51,2006,Vietnam,EVN," Srok Phu Mieng Hydropower JSC",,,," ",Vietnam,"Binh Phuoc",,
1448,"Stung Atay",Hydro,Operational,120,2013,"China; Cambodia","Cambodia Hydropower Development Co"," Ltd.",China,"China Development Bank China",China,"Datang China",,Cambodia,,
1449,"Stung Battambang I Multipurpose",Hydro,Operational,13,2018,China,"China Guangdong Foreign Construction Company",China,"China EXIM Bank China",China,"China Guangdong Foreign Construction Company",Cambodia,Battambang,"Rotanak Mondol",,
1450,"Stung Battambang II",Hydro,Planned,36,,Russia,ENEX,,,," ",Cambodia,Battambang,Samlaut,,
1451,"Stung Battambang III",Hydro,Planned,13,,,,,,," ",Cambodia,Battambang,Samlaut,,
1452,"Stung Cheay Areng Dam",Hydro,Postponed,108,,China,"Power Construction Corp",China,"China EXIM Bank China",China,"Power Construction Corp China",Cambodia,"Koh Kong","Kaoh Kong",,
1453,"Stung Chikreng",Hydro,Planned,1,,,,,,," ",Cambodia,"Siem Reap","Chi Kraeng",,
1454,"Stung Chinit",Hydro,Planned,5,,,,,,," ",Cambodia,"Kampong Thum",Baray,,
1455,"Stung Kep I",Hydro,Planned,4,,,,,,," ",Cambodia,"Koh Kong","Thma Bang",,
1456,"Stung Kep II",Hydro,Planned,26,,,,,,," ",Cambodia,"Koh Kong","Thma Bang",,
1457,"Stung Meteuk I",Hydro,Planned,175,,,,,,," ",Cambodia,Pursat,"Veal Veaeng",,
1458,"Stung Meteuk II",Hydro,Planned,210,,,,,,," ",Cambodia,Pursat,"Veal Veaeng",,
1459,"Stung Meteuk III",Hydro,Planned,50,,,,,,," ",Cambodia,"Koh Kong","Mondol Seima",,
1460,"Stung Mongkol Borey I",Hydro,Planned,7,,,,,,," ",Cambodia,Battambang,Bavel,,
1461,"Stung Mongkol Borey II",Hydro,Planned,7,,,,,,," ",Cambodia,Battambang,Kamrieng,,
1462,"Stung Piphot",Hydro,Planned,25,,,,,,," ",Cambodia,"Koh Kong","Srae Ambel",,
1463,"Stung Pursat I",Hydro,"Under Construction",80,2023,"South Korea; China; Cambodia","SPHP Co Ltd.",,,," ",Cambodia,Pursat,"Veal Veaeng",,
1464,"Stung Pursat II",Hydro,Planned,17,,China,,,,," ",Cambodia,Pursat,"Phnum Kravanh",,
1465,"Stung Pursat IV",Hydro,Planned,2,,,,,,," ",Cambodia,Pursat,"Phnum Kravanh",,
1466,"Stung Pursat V",Hydro,Planned,2,,,,,,China,"China Guangdong Foreign Construction Company China",Cambodia,Pursat,"Phnum Kravanh",,
1467,"Stung Sen",Hydro,Planned,38,,"South Korea; Kuwait",,,,," ",Cambodia,"Preah Vihear",Rovieng,,
1468,"Stung Siem Reap",Hydro,Planned,2,,,,,,," ",Cambodia,"Siem Reap","Svay Leu",,
1469,"Stung Sreng",Hydro,Planned,7,,,,,,," ",Cambodia,"Odar Meanchey","Chong Kal",,
1470,"Stung Staung",Hydro,Planned,4,,,,,,," ",Cambodia,"Kampong Thom","Prasat Balangk",,
1471,"Stung Sva Slapp",Hydro,Planned,4,,,,,,," ",Cambodia,"Kampong Speu",Aoral,,
1472,"Stung Tanat",Hydro,Planned,4,,,,,,," ",Cambodia,"Siem Reap",Varin,,
1473,"Stung Tatai Leu",Hydro,Planned,150,2026,China,"China National Heavy Machinery Corp",,,,,Cambodia,"Koh Kong","Thma Bang",,
1474,"Stung Tatay",Hydro,Operational,246,2014,China,"China National Heavy Machinery Corporation",China,"China EXIM Bank China",China,"China Gezhouba Group Corporation China",Cambodia,"Koh Kong","Thma Bang",,
1475,"Stung Treng",Hydro,Postponed,980,,Cambodia,"Royal Group",Vietnam,"Vietnam Urban & Industrial Zone Development",,,,,,,
1476,"Investment Corporation Vietnam",," ",Cambodia,"Stung Treng","Stueng Traeng",,,,,,,,,,
1477,"Stung Veal Thmor Kambot",Hydro,Planned,100,,China,"China Huadian Corporation",,,," ",Cambodia,"Koh Kong","Kaoh Kong",,
1478,"Su Pan 2",Hydro,Operational,34.5,2011,Vietnam,"Song da- Hoang Lien Hydropower JSC.",,,," ",Vietnam,"Lao Cai","Sa Pa",,
1479,"Subplu Wind Farm 1 + 2",Wind,Operational,10,2015,Thailand,"Wind Energy Development Co",,,"China; Spain","PowerChina ZhongNan EPC China"," Gamesa Thailand Spain",Thailand,"Nakhon Ratchasima",,
1480,"Subyai Wind Power Project",Wind,Operational,90,2016,Thailand,"Chaiyaphum Wind Farm Company Limited"," EGAT",ADB,ADB,," ",Thailand,Chaiyaphum,,
1481,"Sumikin Rojana Solar Plant",Solar,"Under Construction",24,,"Thailand; Japan","Rojana Group"," Sumikin Bussan",,,"Thailand; Japan","Rojana Power Co Thailand"," Japan",Thailand,,
1482,"Sung Vui",Hydro,Operational,18,,Vietnam,"Nam Tien Lao Cai JSC.",,,," ",Vietnam,"Lao Cai","Sa Pa",,
1483,"Suo Lwe Soluu",Hydro,Planned,240,2025,China,"China Southern Power Grid Yunnan International Co",,,," ",Myanmar,Shan,Kengtung,,
1484,"Suoi Lum 1 Thuy dien Suoi Lum",Hydro,Operational,20,2013,Vietnam,"Nam Lum Hydro Power JSC.",,,," ",Vietnam,"Son La","Muong La",,
1485,"Suoi Lum 3 Thuy dien Suoi Lum",Hydro,Operational,14,2025,Vietnam,"Nam Lum Hydro Power JSC.",,,," ",Vietnam,"Son La","Muong La",,
1486,"Suoi Sap 1 Thuy dien Suoi Sap 1",Hydro,Operational,20,2013,Vietnam,"Cong ty Thuong mai xay dung dau tu va Phat trien TMXDĐT&PT Xuan Thien",,,," ",Vietnam,"Son La","Bac Yen",,
1487,"Suoi Sap 2 Thuy dien Suoi Sap 2",Hydro,Operational,14.5,2007,Vietnam,"Cong ty Thuong mai xay dung dau tu va Phat trien TMXDĐT&PT Xuan Thien",,,," ",Vietnam,"Son La","Bac Yen",,
1488,"Suoi Sap 3 Thuy dien Suoi Sap 3",Hydro,Operational,14,2011,Vietnam,"Bac Minh Development Investment JSC",,,Vietnam,"Cong ty Co phan tu van xay dung dien 1 design consultant"," engineering consultant",Vietnam,"Son La",,
1489,"Suoi Vang AnKroet",Hydro,Operational,3.1,1945,Vietnam,"Vietnam Electricity EVN",,,," ",Vietnam,"Lam Đong","Lac Duong",,
1490,"Superblock Bac Lieu",Wind,Planned,142,2020,Thailand,"Superblock Pcl",,,," ",Vietnam,"Bac Lieu","Gia Rai",,
1491,"Superblock Ca Mau",Wind,Planned,100,2020,Thailand,"Superblock Pcl",,,," ",Vietnam,"Ca Mau","Đam Doi",,
1492,"Superblock Soc Trang",Wind,Planned,98,2020,Thailand,"Superblock Pcl",,,," ",Vietnam,"Soc Trang","Soc Trang",,
1493,"Surat Thani","Mixed Fossil Fuel",Operational,244,2001,Thailand,EGAT,,,," ",Thailand,"Surat Thani",Phunphin,,
1494,"Surat Thani",Gas,Operational,244,2001,Thailand,EGAT,,,," ",Thailand,"Surat Thani",Phunphin,,
1495,"Surat Thani Biomass Power Generation",Biomass,Operational,9.95,2007,Thailand,"Surat Thani Green Energy Co",,,Japan,"Agritech Marketing Co; NES Japan Co Ltd; Mitsubishi UFJ Morgan Stanley Securities Co Ltd.",Thailand,"Surat Thani","Ban Na Doem",,
1496,"Surat Thani Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited TSE",,,," ",Thailand,"Surat Thani","Muang Surat Thani",,
1497,"Surin 1 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power Surin 1 Company Limited Solar Power Co Ltd; PEA ENCOM Co Ltd",,,," ",Thailand,Surin,"Samrong Thap",,
1498,"Surin 2 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power Surin 2 Company Limited Solar Power Co Ltd; PEA ENCOM Co Ltd",,,," ",Thailand,Surin,Sangkha,,
1499,"Surin 3 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power Surin 3 Company Limited Solar Power Co Ltd",,,," ",Thailand,Surin,"Tha Tum",,
1500,"Suvannaphum Power Plant",Coal,Operational,10,2008,"Thailand; Cambodia","Suvannaphum Investment Co",,,," ",Cambodia,Kandal,"Kien Svay",,
1501,"Svay Rieng Solar",Solar,"Under Construction",20,2021,"Cambodia; Malaysia","Pestech International",,,," ",Cambodia,"Svay Rieng","Svay Teab",,
1502,"Song Hinh Hydro",Hydro,Operational,64,,Vietnam,EVN,,,," ",Vietnam,"Phu Yen","Song Hinh",,
1503,"T.H. Pellet Watewater Treatment",Waste,Unknown,1,,Thailand,"T.H. Pellet Co Ltd.",,,Japan,"Marubeni Co",Thailand,"Nakhon Ratchasima",Sikhiu,,
1504,"Ta Khit Solar Power Plant",Solar,Operational,7.6,,Thailand,"G-Power Source Co Ltd",,,," ",Thailand,"Nakhon Sawan","Banphot Phisai",,
1505,"Ta Loi 3",Hydro,Operational,7.5,2012,Greece,Intracom,,,," ",Vietnam,"Lao Cai","Bat Xat",,
1506,"Ta Niet",Hydro,Operational,3.6,2014,Vietnam,"Ta Niet Hydro Power JSC",,,," ",Vietnam,"Son La","Moc Chau",,
1507,"Ta Sang",Solar,Operational,7.6,2012,Thailand,"G-Power Source Co"," Ltd Gunkul Engineering Plc.",,,," ",Thailand,"Nakhon Sawan",,
1508,"Ta Thang",Hydro,Operational,60,2013,Vietnam,"Lao Cai Vietracimex Electricity JSC.; Vietnam Trading Engineering Company",Japan,JBIC,," ",Vietnam,"Lao Cai","Sa Pa",,
1509,"Ta Trach",Hydro,Operational,21,2013,Vietnam,"Bitexco Group",,,," ",Vietnam,"Thua Thien Hue","Huong Thuy",,
1510,"Ta Vi",Hydro,Operational,3,2011,Vietnam,"Manh Nam Pressure Mechanical JSC",,,," ",Vietnam,"Quang Nam","Bac Tra My",,
1511,"Tad Sampamit",Hydro,Planned,5,,Thailand,"Charoen Xaytong Construction",,,," ",Laos,Champasak,Pathoomphone,,
1512,"Tadsakoi Xaybangluang 2",Hydro,"Under Construction",30,,"Thailand; Laos","B. Grimm Power Pcl"," Daosavan Investment and Construction Group Sole Company",,,," ",Laos,Savannakhet,,
1513,Tadsalaem,Hydro,Operational,3.2,2012,Thailand,"SIC Manufacturer",,,," ",Laos,Savannakhet,Champhone,,
1514,Taikgyi,Wind,Planned,40,,China,"China Three Gorges",,,," ",Myanmar,Yangon,Yangon-N,,
1515,"Takhian - Sonnedix Solar Power Plant",Solar,Operational,7.5,,Thailand,"Chiangrai Solar Company ",Ltd.,,,," ",Thailand,"Nakhon Ratchasima",,
1516,"Tam Jae",Hydro,Planned,5,,Thailand,"DMD Patana Company Ltd",,,," ",Laos,Xiangkhoang,Kham,,
1517,"Tan Lap Đien gio Tan Lap",Wind,Planned,30,,Vietnam,"Cong ty Co phan Đau tu Đien luc 3 PC3-INVEST",,,," ",Vietnam,"Quang Tri","Huong Hoa",,
1518,"Tan Linh Đien gio Tan Linh",Wind,"Under Construction",48,2021,Vietnam,"Cong ty CP Đau tu xay dung va thuong mai Phu Đien",,,Denmark,Vestas,Vietnam,"Quang Tri","Huong Hoa",,
1519,"Tan Phuoc 1",Gas,Planned,1200,2027,Vietnam,EVN,,,," ",Vietnam,"Tien Giang","Go Cong Đong",,
1520,"Tan Phuoc 2",Gas,Planned,1200,2028,Vietnam,EVN,,,," ",Vietnam,"Tien Giang","Go Cong Đong",,
1521,"Tan Thanh Nha may nhiet dien Tan Thanh",Coal,Cancelled,2400,,Japan,J-Power,Japan,,," ",Vietnam,"Ba Ria - Vung Tau","Tan Thanh",,
1522,"Tan Thuan Wind Power Project",Wind,"Under Construction",90,2021,Vietnam,"Ca Mau Renewable Energy Investment JSC",,,"Vietnam; China","Power Engineering Consulting JSC No 2; Energy China",Vietnam,"Ca Mau","Đam Doi",,
1523,Tanintharyi,Coal,Planned,1800,,"Thailand; Japan; Myanmar","Global Power Synergy Plc subsidiary of Thailand government-backed PTT Plc"," Marubeni Corporation"," Electricity Generating Authority"," SRI Energy Co"," Ayeyar Hinthar Holdings Co",,,,,
1524,"Tata - Solar Power Plant",Solar,Planned,49,2019,"India; Vietnam","Cong ty Tata Power Limited -- subsidiary of Tap doan Tata Power Company Limited"," Alphanam Group"," EVN Tap Đoan Đien luc Viet Nam",,,," ",Vietnam,,
1525,Taunggut,Wind,Planned,96,,China,"China Three Gorges",,,," ",Myanmar,Shan,Taunggye,,
1526,"Tay Nguyen wind farm - Dlie Yang Nha may dien gio Dlieyang",Wind,Operational,436,2019,Vietnam,"HBRE Wind Power Solution Co",,,," ",Vietnam,"Đak Lak","Ea H'leo",,
1527,"Tay Ninh",Solar,"Under Construction",320,2020,Vietnam,"TTC Corporation",,,," ",Vietnam,"Tay Ninh","Tay Ninh",,
1528,"TBEC Tha Chang Biogas Project",Waste,Unknown,2.8,,Thailand,"Thai Biogas Energy Co Ltd.",Thailand,"Carbon Bridge Pte Ltd.",," ",Thailand,"Surat Thani","Tha Chang",,
1529,"Tha Chana",Nuclear,Planned,,,Thailand,EGAT,,,," ",Thailand,Trat,"Muang Trat",,
1530,"Tha Muang Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV7 Project",,,," ",Thailand,Kanchanaburi,"Tha Muang",,
1531,"Tha Tako",Nuclear,Planned,,,Thailand,EGAT,,,," ",Thailand,"Surat Thani",Phunphin,,
1532,"Tha Thung Na Dam",Hydro,Operational,39,,Thailand,EGAT,,,," ",Thailand,Kanchanaburi,"Muang Kanchanaburi",,
1533,"Tha Tum power station",Coal,Operational,328,1999,Thailand,"National Power Supply PCL",,,," ",Thailand,"Prachin Buri","Sri Mahar Pho",,
1534,"THA: BLCP POWER PROJECT 1-2",Coal,Operational,1434,2007,Thailand,Banpu," EGCO",ADB,"ADB and others",," ",Thailand,Rayong,,
1535,"Thac Ba",Hydro,Operational,120,1971,Vietnam,EVN,,,," ",Vietnam,"Yen Bai","Yen Binh",,
1536,"Thac Mo dien mat troi Thac Mo",Solar,Planned,50,2021,Vietnam,"Cong ty Co phan thuy dien Thac Mo",,,," ",Vietnam,"Binh Phuoc","Bu Gia Map",,
1537,"Thac Mo Hydropower Station Extension",Hydro,Operational,75,2017,Vietnam,"Thac Mo Hydropower JSC","Japan; Vietnam",JICA," EVN",USA,GE,Vietnam,"Binh Phuoc",,
1538,"Thac Mo MR",Hydro,Operational,150,1995,Vietnam,"Thac Mo Hydropower JSC",,,Vietnam,"Eastern Construction Co",Vietnam,"Binh Phuoc","Phuoc Long",,
1539,"Thac Trang",Hydro,Operational,6,2006,Vietnam,"Song Da 11 JSC",,,," ",Vietnam,"Đien Bien","Đien Bien",,
1540,"Thachana Palm Oil Co Wastewater Treatment Project",Waste,Unknown,2,,Thailand,"Thachana Palm Oil Co Ltd.",,,Japan,"Mitsubishi UFJ Securities Co Ltd.",Thailand,"Surat Thani","Tha Chana",,
1541,Thahtay,Hydro,"Under Construction",111,,Myanmar,MOEP,China,"China EXIM Bank China; China Development Bank China",," ",Myanmar,Rakhine,Thandwe,,
1542,"Thai Agro Energy Wastewater Treatment and Biogas Utilization Project",Waste,Unknown,,,Thailand,"Thai Agro Energy Public Co Ltd.",,,Switzerland,"Swiss Carbon Assets Ltd.",Thailand,"Suphan Buri","Dan Chang",,
1543,"Thai Binh 1 Nha may Nhiet dien Thai Binh 1",Coal,Operational,600,2018,Vietnam,EVN,"Japan; Vietnam",JICA," EVN",Japan,Marubeni,Vietnam,"Thai Binh",,
1544,"Thai Binh 2 Nha may Nhiet dien Thai Binh 2",Coal,"Under Construction",1200,2022,Vietnam,PetroVietnam,"Japan; South Korea; USA",JBIC," ExIm Korea"," Citibank"," Mizhuo Financial Group"," Bank of Tokyo - Mitsubishi","Japan; South Korea",,
1545,"Thai Binh 3 Nha may Nhiet dien Thai Binh 3",Coal,Planned,440,,Vietnam,Vinacomin,,,," ",Vietnam,"Thai Binh","Thai Thuy",,
1546,"Thai Carbon Blank Public Co"," Ltd.",Waste,Unknown,12,,,,,,," ",Thailand,Phetchabun,,
1547,"Thai Roong Ruang Energy Co"," Ltd",Biomass,Unknown,8,,Thailand,"Thai Roong Ruang Industry Co"," Ltd.",,,," ",Thailand,,
1548,"Thai Roong Ruang Energy Wastewater Treatment and Biogas Utilization Project",Waste,Unknown,4.5,,Thailand,"Thai Roong Ruang Energy Co Ltd.",,,Switzerland,"Swiss Carbon Assets Ltd.",Thailand,Saraburi,"Wang Muang",,
1549,"Thai Solar Power 1",Solar,Operational,5,,Thailand,"Thai Solar Energy Co Ltd.",,,," ",Thailand,Kanchanaburi,"Huai Kra Chao",,
1550,"Thai Sritong Biomass Energy",Biomass,Unknown,8,,"Thailand; Switzerland","Thai Sritong Co Ltd.; Swiss Carbon Assets Ltd.",,,," ",Thailand,Krabi,"Lam Thap",,
1551,"Thai Sritong Power Generation Project",Waste,Unknown,2.4,2011,Thailand,"Thai Sritong Co Ltd.",,,Switzerland,"Swiss Carbon Assets Ltd.",Thailand,Krabi,"Lam Thap",,
1552,"Thailand AEP Livestock Waste Management Project: AP.",Waste,Unknown,0.1,2010,Thailand,"Advance Energy Plus Co"," Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,,
1553,"Thailand AEP Livestock Waste Management Project: Jung",Waste,Unknown,0.16,2010,Thailand,"Advance Energy Plus Co"," Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,,
1554,"Thailand AEP Livestock Waste Management Project: K.OS.",Waste,Unknown,0.12,2009,Thailand,"Advance Energy Plus Co"," Ltd.",,"IBRD International Bank for Reconstruction and Development as a Trustee of the Community Development Carbon Fund CDCF",Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,,
1555,"Thailand AEP Livestock Waste Management Project: Kanchana",Waste,Unknown,0.32,2010,Thailand,"Advance Energy Plus Co"," Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,,
1556,"Thailand AEP Livestock Waste Management Project: Kanchana Hybrid",Waste,Unknown,0.28,2010,Thailand,"Advance Energy Plus Co"," Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,,
1557,"Thailand AEP Livestock Waste Management Project: Maneerat",Waste,Unknown,0.16,2009,Thailand,"Advance Energy Plus Co"," Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,,
1558,"Thailand AEP Livestock Waste Management Project: Panus-Amporn",Waste,Unknown,0.05,2010,Thailand,"Advance Energy Plus Co"," Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,"Chon Buri",,
1559,"Thailand AEP Livestock Waste Management Project: Supparuek",Waste,Unknown,0.58,2009,Thailand,"Advance Energy Plus Co"," Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,,
1560,"Thailand AEP Livestock Waste Management Project: V. Tai",Waste,Unknown,0.12,2010,Thailand,"Advance Energy Plus Co"," Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,,
1561,"Thailand AEP Livestock Waste Management Project: Wanchai",Waste,Unknown,0.16,2009,Thailand,"Advance Energy Plus Co"," Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,,
